Male	Female	Tissue	ExpGeneNumb.x	state.x	state.y	ExpGeneNumb.y	diff
221	Mo17	PHN11	Root	25235	Hybrid	Inbred	24788	447
222	Mo17	PHN11	Seedling	24401	Hybrid	Inbred	24750.5	-349.5
223	Mo17	PHW65	Endosperm	21298	Hybrid	Inbred	20859.5	438.5
224	Mo17	PHW65	Internode	22926	Hybrid	Inbred	22915	11
225	Mo17	PHW65	Leaf	23487	Hybrid	Inbred	22882.5	604.5
226	Mo17	PHW65	Root	25097	Hybrid	Inbred	24884.5	212.5
227	Mo17	PHW65	Seedling	25208	Hybrid	Inbred	24883	325
228	Mo17	W64A	Endosperm	21328	Hybrid	Inbred	21116.5	211.5
229	Mo17	W64A	Leaf	23361	Hybrid	Inbred	23038.5	322.5
230	Mo17	W64A	Root	25361	Hybrid	Inbred	24860	501
231	Mo17	W64A	Seedling	25067	Hybrid	Inbred	24980.5	86.5
232	Oh43	Mo17	Internode	23610	Hybrid	Inbred	23196.5	413.5
233	Oh43	Mo17	Leaf	22920	Hybrid	Inbred	22830.5	89.5
234	Oh43	Mo17	Root	25281	Hybrid	Inbred	24960	321
235	Oh43	Mo17	Seedling	25274	Hybrid	Inbred	24631	643
236	PH207	B73	Endosperm	20722	Hybrid	Inbred	20711.5	10.5
237	PH207	B84	Endosperm	21297	Hybrid	Inbred	20477	820
238	PH207	CR1Ht	Endosperm	21577	Hybrid	Inbred	21177	400
239	PH207	DKFAPW	Endosperm	21754	Hybrid	Inbred	21694	60
240	PH207	H99	Endosperm	21862	Hybrid	Inbred	21378	484
241	PH207	LH123Ht	Endosperm	21140	Hybrid	Inbred	20603.5	536.5
242	PH207	LH145	Endosperm	21533	Hybrid	Inbred	20895	638
243	PH207	LH85	Endosperm	21768	Hybrid	Inbred	20898.5	869.5
244	PH207	LH93	Endosperm	21056	Hybrid	Inbred	20810	246
245	PH207	Mo17	Endosperm	20946	Hybrid	Inbred	20796.5	149.5
246	PH207	Mo17	Internode	23293	Hybrid	Inbred	22747.5	545.5
247	PH207	Mo17	Leaf	23233	Hybrid	Inbred	22980	253
248	PH207	Mo17	Root	25685	Hybrid	Inbred	24533	1152
249	PH207	Mo17	Seedling	25447	Hybrid	Inbred	24642.5	804.5
250	PH207	Mo45	Endosperm	20902	Hybrid	Inbred	21023.5	-121.5
251	PH207	NC230	Endosperm	20797	Hybrid	Inbred	21332.5	-535.5
252	PH207	NKH8431	Endosperm	20917	Hybrid	Inbred	20980	-63
253	PH207	NKS8326	Endosperm	21583	Hybrid	Inbred	20955	628
254	PH207	Ny821	Endosperm	22363	Hybrid	Inbred	21071	1292
255	PH207	Oh43	Endosperm	21824	Hybrid	Inbred	20888	936
256	PH207	PHB47	Endosperm	21891	Hybrid	Inbred	20949.5	941.5
257	PH207	PHG29	Endosperm	20735	Hybrid	Inbred	20658	77
258	PH207	PHG35	Endosperm	21703	Hybrid	Inbred	21031	672
259	PH207	PHG39	Endosperm	21815	Hybrid	Inbred	21399	416
260	PH207	PHG47	Endosperm	21771	Hybrid	Inbred	21178	593
261	PH207	PHG50	Endosperm	20178	Hybrid	Inbred	20742	-564
262	PH207	PHG72	Endosperm	20725	Hybrid	Inbred	21253	-528
263	PH207	PHJ40	Endosperm	22163	Hybrid	Inbred	20727	1436
264	PH207	PHN11	Endosperm	20385	Hybrid	Inbred	20983	-598
265	PH207	PHW65	Endosperm	21294	Hybrid	Inbred	20962.5	331.5
266	PH207	W64A	Endosperm	21421	Hybrid	Inbred	21219.5	201.5
267	PHG29	Mo17	Internode	23439	Hybrid	Inbred	22780.5	658.5
268	PHG29	Mo17	Leaf	22884	Hybrid	Inbred	22974.5	-90.5
269	PHG29	Mo17	Root	25464	Hybrid	Inbred	24726	738
270	PHG29	Mo17	Seedling	25643	Hybrid	Inbred	24979	664
